track_id,track_name,track_artists
0fos0JBszVPh2MtKRjW64e,"Saari Duniya Jalaa Denge (Extended Film Version) [From ""ANIMAL""]","Jaani,B Praak"
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),"Sam Smith,Kim Petras"
3EDZpyerzv529Higm1QoEr,Jaan 'Nisaar,Arijit Singh
4BoFJMLSO3ZoD48KgnslSe,Mere Humsafar (Original Score) [Female Version],Yashal Shahid
04hGz2SWnfzZ7y6ILf5lRb,When I Look at You,Dylan Brady
69vToJ9BMbbLlFZo7k7A7B,You Are The Reason,Calum Scott
5plBHwPVrGWZUs2IufpiTS,Vhalam Aavo Ne (Sad Version),"Sachin-Jigar,Aishwarya Majmudar,Niren Bhatt"
0JIhRhZPF5j5dx0FGqTWxy,I'll Be Waiting,Cian Ducrot
4svSc7BE6r9xMEk0GosnVu,Rang Lageya,"Mohit Chauhan,Rochak Kohli"
727Z2S2mtNH46CbP9EWPwY,If You Love Her,Forest Blakk
4afA2YQlZfYzJbfnNoNknK,Mere Ghar Ram Aaye Hain,"Jubin Nautiyal,Payal Dev,Manoj Muntashir"
0j1Ia2lQWrcXrQZI4AdJlk,IDK You Yet,Alexander 23
10eBRyImhfqVvkiVEGf0N0,Enchanted,Taylor Swift
2lNTHWu2I5Tcz9ukWsV5Jj,Next Thing You Know,Jordan Davis
1kTEGyqUJFgstwdgJFLqz1,"Dil Se Dil Tak (From ""Bawaal"")","Akashdeep Sengupta,Laqshay Kapoor,Kausar Munir,Suvarna Tiwari"
0Gl5s8IhMmQE5YQwM8Qx1J,Never Enough,Loren Allred
5uQ7de4EWjb3rkcFxyEOpu,Belong Together,Mark Ambor
5AfiJYkvHfo4vWWfYOBwjw,Another Love - Slowed + Reverb,Another Lover
5ibuejpRCUzZ4jsOLUK5T5,"Jheeli Le - From ""Vanilla Ice Cream""","Madhubanti Bagchi,Siddharth Amit Bhavsar"
7IEww1rwWe1scos6rarOYh,Awari,"Adnan Dhool,Momina Mustehsan"
4137w3YEeQSgz52qxyjxHR,Kaun Mera,Papon
6XZWokIxs4leaSmXmU8b26,"Hum Nashe Mein Toh Nahin (From ""Bhool Bhulaiyaa 2"")","Pritam,Arijit Singh,Tulsi Kumar"
2SQio2ZAKTHE4cM1hLmEQ9,"Woh Din Yaad Aande Ne - From ""Code M""","Shreya Jain,Piyush Mehroliyaa"
2A4lcqTJZgUs1XrW6TSvt0,Hum Toh Deewane,"Rajat Nagpal,Yasser Desai,Rana Sotal"
6O1RAYwmOqkcoJQr7J9SFJ,Oonchi Oonchi Deewarein,"Manan Bhardwaj,Arijit Singh"
26elzgFl8tvajnDfeoY1YF,Mannat,"Darshan Raval,Prakriti Kakar"
2BJCgb5RvPSLBsx6UYfJV2,"Tere Sang Ishq Hua (From ""Yodha"")","Tanishk Bagchi,Arijit Singh,Neeti Mohan,Kunaal Vermaa"
0rMeOAvbQZ2RTG4B6L1M4p,Asal Mein,Darshan Raval
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh,Mithoon"
5qlBbFPvCOuU7J18G5KJXT,Jogi,Aakanksha Sharma
4A0oXqsH6CliHFAiPKLhng,Dilbara,"Sachet Tandon,Parampara Tandon"
6q4GmJDbiZ7viOqLHP76cs,Rang Jo Lagyo,"Atif Aslam,Shreya Ghoshal,Sachin-Jigar"
4iu3NRqmdwFWCowNmu4oDG,Tu Banja Gali Benaras Ki,Asit Tripathy
7aZcZYqLEVq53PkNVXC1WI,Laadki,"Rekha Bhardwaj,Sachin-Jigar"
4kqUlN3craCx3ZIBIfhp2X,Om Shanti Om (Instrumental),Vishal-Shekhar
3RorJ5DnxrT70LuRfhLn3t,Tere Hawale (Arijit - Shreya Duet),"Pritam,Amitabh Bhattacharya,Arijit Singh,Shreya Ghoshal"
7463jwBAI65wW4MKF4x56u,Laadki,"Kirtidan Gadhvi,Taniskha Sanghvi,Rekha Bhardwaj"
7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Lewis Capaldi
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray
1W5F3RkpvTE4Qg2ugovTRC,Kanha Re,"Neeti Mohan,Traditional"
3wmI2n0Whs6kg4MT8jFRU1,Teri Aankhon Mein,"Darshan Raval,Neha Kakkar,Manan Bhardwaj"
7y5t2ePdh0lAejWJ8vPSuP,"Jaan Ban Gaye - From ""Khuda Haafiz""","Asees Kaur,Mithoon,Vishal Mishra"
3SHopOL3KEJ8PFl3vJdfmF,Naina,"Sona Mohapatra,Armaan Malik"
50Emj7dvfU5NTCQsS7ECJ7,"Ek Tukda Dhoop (From ""Thappad"")","Raghav Chaitanya,Anurag Saikia"
0IGXY47K2ha3AHfX57wY1O,"Deva Deva (From ""Brahmastra"")","Pritam,Arijit Singh,Amitabh Bhattacharya,Jonita Gandhi"
5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),"Julia Michaels,Niall Horan"
2ixsaeFioXJmMgkkbd4uj1,Budapest,George Ezra
